cbo_name,activities,City,HTC,Language
Orange County United Way,event,Newport Beach,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Spanish, Other"
AASCSC,"Film PSA - AASCSCs COO had the Co-Presidents and Immdiate Past President wear the 2020 Census pin for the Mandarin, Cantonese, and Taiwanese video. The media team adopted the idea and the Other participants wore the 2020 census pin., meeting, nudgealert, social_media, speaking_engagement",Orange,"Born Outside of U.S., Limited English Speaking Ability","Farsi, Spanish, Vietnamese, Khmer, Korean, Chinese, Mandarin, Min Nan Chinese, Tagalog, Other"
AltaMed,advertising,Orange,Born Outside of U.S.,Spanish
CAIR-LA,"Social media and email blast, Friday prayer annoucement, TEXTBANKING*, phone_banking, Social media and newsletter",Orange,"Born Outside of U.S., Limited English Speaking Ability","Arabic, Armenian, Farsi, Filipino, Hindi, Spanish, Other"
California Healthy Nail Salon Collaborative,phone_banking,Orange,"Born Outside of U.S., Limited English Speaking Ability",Vietnamese
CAP OC,"collateral, text banking, flyers, phone_banking",Orange,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Chinese, Korean, Spanish, Tagalog, Vietnamese"
Catholic Charities of Orange County,event,Orange,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability",
CHIRLA,"phone_banking, Census outreach and education",Orange,Limited English Speaking Ability,Spanish
Clergy and Laity United for Economic Justice,advertising,Orange,,
Community Health Initiative of Orange County,"phone_banking, social_media, Mass Flyer Distribution to clinics, dental offices, FRC, Optomitrist office, small Business, Phone Calls were provided to our aprticipants who applied for Medi-Cal, CalFresh and Other social services",Orange,,Spanish
Help Me Grow,"advertising, collateral, convening, Script on toll free phone line - # of callers, phone_banking",Orange,Children Under 5,Spanish
Hope Community Services ,food distribution,Orange,"Born Outside of U.S., Limited English Speaking Ability",Vietnamese
KCS,Social Media Post,Orange,Born Outside of U.S.,"Chinese, Korean, Vietnamese"
Latino Health Access,"flyers, Other, phone_banking, social_media, webinar",Orange,"Born Outside of U.S., Limited English Speaking Ability",Spanish
OC Human Relations,"Posters at Food Trucks, Organizational website Slider, Banners at Schools, Banners at Churches, Videos and Post in several languages",Orange,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Arabic, Korean, Spanish"
Orange County Labor Federation ,"EDD assistance and reminding individuals to filled out the Census., remind every driver of the importance of census through the drive-thru food drive., letter to all memebers, social media outreach and reminder of the importance of filling out the 2020 Census. Census link to fill out questionnaire., Census 101 and Q&A",Orange,,
Orange County United Way,flyers,Orange,Limited English Speaking Ability,"Spanish, Other"
South Asian Network,social_media,Orange,,
"Southland Integrated Services, Inc.",phone banking-calling individual homes,Orange,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Spanish, Vietnamese"
The Cambodian Family,"Santa Ana Census Caravan, Khmer TV Census Poem - ENG",Orange,Born Outside of U.S.,
VietRISE,"Social Media (Facebook) advertisement to share details of the press conference and impact of the census on undercounted Vietnamese and immigrant communities, Social media posting (Instagram) of census information and programs it funds",Orange,,
WAVE,"flyers, Email blast from Faro Church",Orange,"Born Outside of U.S., Limited English Speaking Ability",Spanish
CAP OC ,collateral,Placentia,,
OC Human Relations,T-shirts/Bags distribution,Placentia,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability",Spanish
OCCCO,1-1 conversations with Orange County resgistered voters in HTC Census Tracts,Placentia,,Spanish
OCCCO,Congregations Spanish-speaking service,Rancho Santa Margarita,,Spanish
Jamboree Housing Corporation,,San Clemente,,"russian, Spanish"
WAVE,meeting,San Juan Capistrano,,Spanish
AASCSC,"event, form_filling_assistance, meeting, nudgealert, phone_banking, social_media",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Filipino, Korean, Mandarin, Spanish, Tagalog, Vietnamese, Other"
AltaMed,pledge_cards,Santa Ana,,Spanish
CAP OC,"collateral, qac",Santa Ana,Children Under 5,"Filipino, Spanish, Vietnamese"
Catholic Charities of Orange County,"advertising, event",Santa Ana,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Korean, Spanish, Vietnamese"
Charitable Ventures,"phone_banking, social_media",Santa Ana,Born Outside of U.S.,Khmer
Clergy and Laity United for Economic Justice,advertising,Santa Ana,,
Coalition of Orange County Community Health Centers ,"via-phone enrollment outreach, webinar",Santa Ana,Limited English Speaking Ability,Spanish
Community Health Initiative of Orange County ,"Facebook post, Resource fair booths",Santa Ana,,
Latino Health Access,"event, Educational messages via a loudspeaker from LHA Infomovil - a van that drives to supermarkets and food distribution events and educates people via messages thru a loudspeaker.",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability",Spanish
MOMS Orange County,education_forum,Santa Ana,Children Under 5,Spanish
NALEO,"form_filling_assistance, pledge_cards, qac",Santa Ana,,Spanish
OC Herald Center,Love Pack Give Away,Santa Ana,,Chinese
OC Human Relations,"T-Shirts/Bags distribution, canvassing, phone_banking",Santa Ana,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Spanish, Vietnamese"
OCAPICA,training_delivery,Santa Ana,Born Outside of U.S.,
OCCCO,"Immaculate Heart of Mary Church Ministry Visits, Ministry Annoucnments at IHMs Faith Groups, Episcopalian Mass, Announcents and distribution of flyers and direct conversations with Spanish-speaking Latinos, QAC, announcements, flyer distributions, and direct conversation with Spanish-speaking community, Announcements, flyer distributions, and direct conversation with Spanish-speaking community,1-1 conversations with Orange County friends, family, and resgistered voters",Santa Ana,Born Outside of U.S.,"Spanish, Other"
Orange County Labor Federation,"event, Census Presenation in the afternoon and morningfor parents at Lincoln Elementary.",Santa Ana,,Arabic
